Beschriftung (Obj-Id,Name);Bildlink;Creditline;
1234,BM EA 36237.jpg;;;
1261,AST 14.jpg;;;
1303,BM EA 8703.jpg;;;
1304,BM EA 5512.jpg;;;
1307,London UC 12800_.jpg;;;
1325,MM+11443.jpg;;;
1339,4506#001.tif;;;
1388,BM EA 501.jpg;;;
1392,BM EA 46.jpg;;;
1404,BM EA 6612.jpg;;;
1410,MMA 23.10.01.jpg;;;
1411,MMA 08.205.2c.jpg;;;
1413,MMA 66.99.94.jpg;;;
1414,D 7687_H 00219_R 45725.tif;;H 219 Badisches Landesmuseum, Karlsruhe (Foto: Thomas Goldschmidt), Free Access – no re-use;_
1426,22.163_2.jpg;;;
1473,37.125E_front.jpg;;;
1475,Leiden L.VII.14.jpg;;;
1476,Leiden L.VII.14.jpg;;;
1477,Leiden L.VII.14.jpg;;;
1478,Leiden AAL 5a-d.jpg;;;
1479,AH I 40 c.jpg;;;
1482,Leiden H.III.SSS a_1.jpg;;;
1483,H.III.AA 3.jpg;;;
1486,CUR.65.196_wwg8.jpg;;;
1487,37.123E_SL1.jpg;;;
1488,CUR.37.263E_NegF_print_bw.jpg;;;
1489,CUR.37.48E_negE_bw.jpg;;;
1492,UC 14471.jpg;;;
1493,UC 14477.jpg;;;
1549,AEM_07290_001.jpg;;;
1841,NMR.1135_05.tif;http://sydney.edu.au/museums/collections_search/?record=ecatalogue.34543;NMR.1135 Nicholson Museum, The University of Sydney.;_
1839,NMR.1133_05.tif;http://sydney.edu.au/museums/collections_search/?record=ecatalogue.34545;NMR.1133 Nicholson Museum, The University of Sydney.;_
1842,NMR.1137_02.tif;http://sydney.edu.au/museums/collections_search/?record=ecatalogue.32318;NMR.1137 Nicholson Museum, The University of Sydney.;_
1840,NMR.1134.1_02.tif;http://sydney.edu.au/museums/collections_search/?record=ecatalogue.56875;NMR.1134.1 Nicholson Museum, The University of Sydney.;_
1843,NMR.1131_05.tif;http://sydney.edu.au/museums/collections_search/?record=ecatalogue.34544;NMR.1133 Nicholson Museum, The University of Sydney.;_
1201,NMR.1138_01.tif;http://sydney.edu.au/museums/collections_search/?record=ecatalogue.38716;NMR.1138 Nicholson Museum, The University of Sydney.;_
1030,NMR.1132_05.tif;http://sydney.edu.au/museums/collections_search/?record=ecatalogue.42740;NMR.1132 Nicholson Museum, The University of Sydney.;_
440,NMR.1144_06.tif;http://sydney.edu.au/museums/collections_search/?record=ecatalogue.40768;NMR.1144 Nicholson Museum, The University of Sydney.;_
1236,08851 KD R6+.jpg;;APM.08851 Allard Pierson Museum, Amsterdam;_
1716,APM 17000.jpg;;APM.17000 Allard Pierson Museum, Amsterdam;_
1160,DIAP_00838.tif;http://www.museibologna.it/archeologico/sfoglia/47681/id/2796/offset/2032/;EG 1944 Museo Civico Archeologico, Bologna;_
186,DIAP_00839.tif;http://www.museibologna.it/archeologico/sfoglia/47681/id/2798/offset/2048/;EG 1945 Museo Civico Archeologico, Bologna;_
1633,KS_2221_01.jpg;;EG 2221 Museo Civico Archeologico, Bologna;_
1632,KS_2249_01.jpg;;EG 2249 Museo Civico Archeologico, Bologna;_
1680,DIAP_00789.tif;;EG 3162 Museo Civico Archeologico, Bologna;_
495, A_0470.tif;;EG 1932 Museo Civico Archeologico, Bologna;_
2005,KS_2250_01.jpg;;EG 2250 Museo Civico Archeologico, Bologna;_
2006,KS_2251_01.jpg;;EG 2251 Museo Civico Archeologico, Bologna;_
1630,A_0697.tif;;EG 3167 Museo Civico Archeologico, Bologna;_
1424,DIAP_00832.tif;;EG 1906 Museo Civico Archeologico, Bologna;_
1176,DIAP_00830.tif;http://www.museibologna.it/archeologico/sfoglia/47681/id/2790/offset/2048/;EG 1888 Museo Civico Archeologico, Bologna;_
1173,DIAP_00826.tif;http://www.museibologna.it/archeologico/sfoglia/47681/id/2786/offset/2048/;EG 1885 Museo Civico Archeologico, Bologna;_
1634,EGI_0484.tif;;EG 1916 Museo Civico Archeologico, Bologna;_
1061,EGI_0486.tif;;EG 1913 Museo Civico Archeologico, Bologna;_
26,DIAP_00833.tif;;EG 1912 Museo Civico Archeologico, Bologna;_
426,DIAP_00837.tif;;EG 1892 Museo Civico Archeologico, Bologna;_
157,DIAP_00995.tif;;EG 1891 Museo Civico Archeologico, Bologna;_
1177,DIAP_00828.tif;;EG 1889 Museo Civico Archeologico, Bologna;_
1175,DIAP_00827.tif;http://www.museibologna.it/archeologico/sfoglia/47681/id/2787/offset/2048/;EG 1887 Museo Civico Archeologico, Bologna;_
1174,DIAP_00829.tif;http://www.museibologna.it/archeologico/sfoglia/47681/id/2789/offset/2048/;EG 1886 Museo Civico Archeologico, Bologna;_
408,DIAP_00834.tif;http://www.museibologna.it/archeologico/sfoglia/47681/id/2793/offset/2048/;EG 1893 Museo Civico Archeologico, Bologna;_
1425,EGI_0058 2.tif;;EG 1909 Museo Civico Archeologico, Bologna;_
806,A_0234 2.tif;;EG 1894 Museo Civico Archeologico, Bologna;_
1090,A_0037.tif;;EG 1825 Museo Civico Archeologico, Bologna;_
1515,1.1_H395.200x200.jpg;;H 395 City Museum and Art Gallery, Bristol;_
1821,H3127.tif;;H 3127 City Museum and Art Gallery, Bristol;_
1770,h2218b.tif;;H 2218b City Museum and Art Gallery, Bristol;_
1297,EGY_51.2164_20151125_S02.jpg;;51.2164 Museum of Fine Arts, Budapest;_
290,E.SS.49.jpg;;E.SS.49 Fitzwilliam Museum, Cambridge;
1336,EG418 N1852 ff.TIF;;Eg 418 Oriental Museum, Durham;_
1657,EG1191.1-2 n1990 ff.TIF;;Eg 1191 Oriental Museum, Durham;_
228,00044ff.TIF;http://discover.durham.ac.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=44DUR_ADLIB_DS3912&indx=11&recIds=44DUR_ADLIB_DS3912&recIdxs=10&elementId=10&renderMode=poppedOut&displayMode=full&frbrVersion=&frbg=&&dscnt=0&scp.scps=scope%3A%2844DUR_ADLIB_DS%29&mode=Basic&vid=44DUR_VU1&srt=rank&tab=default_tab&vl(freeText0)=Ptah&dum=true&dstmp=1470751598697;Eg 4003 Oriental Museum, Durham;_
963,EG495 N1958 ff.TIF;;Eg 495 Oriental Museum, Durham;_
